[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.001000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.007000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.001000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Tag[ view_template ] --START--
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Tag[ view_parse ] --START--
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.022002s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022002s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Tag[ view_filter ] --START--
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Tag[ view_end ] --START--
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-07-08T11:35:26+08:00 ] /QA/index.php/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-07-08T11:35:27+08:00 ] /QA/index.php/member/index/id/88 | INFO: Tag[ route_check ] --START--
[ 2016-07-08T11:35:27+08:00 ] /QA/index.php/member/index/id/88 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:27+08:00 ] /QA/index.php/member/index/id/88 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-07-08T11:35:27+08:00 ] /QA/index.php/member/index/id/88 | INFO: Tag[ app_begin ] --START--
[ 2016-07-08T11:35:27+08:00 ] /QA/index.php/member/index/id/88 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-07-08T11:35:27+08:00 ] /QA/index.php/member/index/id/88 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-07-08T11:35:28+08:00 ] /QA/index.php/member/index/id/88 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.008000s ]
[ 2016-07-08T11:35:28+08:00 ] /QA/index.php/member/index/id/88 | SQL: SELECT `id`,`username`,`money`,`experience`,`adopt`,`answer`,`ask` FROM `wl_index_user` WHERE ( `id` = 88 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-07-08T11:35:28+08:00 ] /QA/index.php/member/index/id/88 | INFO: Tag[ view_template ] --START--
[ 2016-07-08T11:35:28+08:00 ] /QA/index.php/member/index/id/88 | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
